Datetime,Tweet Id,Metaphor[1or0],Mapping,Hashtags_sp,AltMapping
2020-03-01 11:58:56+00:00,1234085713613918220,0,Landscape,['coronaðŸ¦ '],
2020-03-01 05:55:42+00:00,1233994300867792896,1,Storm,['coronavirus'],
2020-03-01 05:36:01+00:00,1233989346358894594,0,Journey,"['coronavirusupdate', 'coronavirus', 'covid19']",
2020-03-01 05:25:36+00:00,1233986725426319362,0,War,"['coronavirusupdate', 'coronavirus', 'covid19']",
2020-03-02 16:04:55+00:00,1234510002083241986,0,Miracle,"['coronavirus...', 'covid19']",
2020-03-02 15:01:23+00:00,1234494012599308288,1,Success/Challenge,['corona'],
2020-03-02 14:21:05+00:00,1234483871913103361,1,Monster,['coronavirus'],
2020-03-02 13:02:29+00:00,1234464092443664386,0,Accident,['coronavirus'],
2020-03-03 15:40:56+00:00,1234866354731261955,1,Storm,['coronavirusindia'],
2020-03-03 16:26:06+00:00,1234877722125459457,0,War,"['coronavirus', 'covid19']",
2020-03-03 18:40:59+00:00,1234911666057416705,1,Darkness,['covid_19'],
2020-03-03 17:47:31+00:00,1234898210096726016,1,Luxury,['coronavirus'],
2020-03-03 17:37:08+00:00,1234895597343330305,1,Lesson/Teacher,"['coronavirusindia', 'coronavirusreachesdelhi', 'corona']",
2020-03-03 17:22:11+00:00,1234891837891993605,1,War,['coronaoutbreak'],
2020-03-03 17:05:01+00:00,1234887513967230976,0,War,"['coronavirusindia', 'coronaoutbreak']",
2020-03-03 15:57:45+00:00,1234870586339471361,0,Lesson/Teacher,"['coronavirusindia', 'coronavirus']",
2020-03-03 15:55:55+00:00,1234870125704175616,0,Lesson/Teacher,"['coronavirusindia', 'coronavirus']",
2020-03-03 15:54:49+00:00,1234869849505091586,0,Lesson/Teacher,"['coronavirusindia', 'coronavirus']",
2020-03-03 15:36:14+00:00,1234865171589365763,1,Storm,['coronavirusreachesdelhi'],WAR
2020-03-03 15:36:11+00:00,1234865161606959109,1,War,['coronavirus'],
2020-03-03 15:11:24+00:00,1234858923942957056,1,War,['coronavirus'],
2020-03-03 15:11:13+00:00,1234858876131999744,0,War,['coronavirusindia'],
2020-03-03 15:10:12+00:00,1234858622758346753,0,Landscape,"['coronavirusindia', 'coronaoutbreak', 'coronavirusreachesdelhi', 'covid_19']",
2020-03-03 14:22:46+00:00,1234846686104768513,1,War,['coronavirus'],
2020-03-03 13:33:30+00:00,1234834287221854208,1,Hammer,['coronaoutbreak'],
2020-03-03 13:17:14+00:00,1234830192029257729,0,Hammer,"['coronavirusindia', 'coronaoutbreak', 'coronavirusreachesdelhi']",
2020-03-03 12:44:24+00:00,1234821929959350273,0,Prison,['coronavirus'],
2020-03-03 12:14:44+00:00,1234814464026800128,1,Monster,"['coronavirusindia', 'corona']",
2020-03-03 12:13:32+00:00,1234814161982328832,0,Lesson/Teacher,['coronavirus'],
2020-03-03 11:07:48+00:00,1234797619630600194,0,Storm,"['coronavirusindia', 'coronavirusreachesdelhi']",
2020-03-03 10:38:02+00:00,1234790129203630080,1,Barrier/Shield,"['coronavirus', 'covid19']",?
2020-03-03 10:28:53+00:00,1234787825163227138,0,Luxury,['coronavirus'],
2020-03-03 09:49:52+00:00,1234778005827751936,1,Freedom,"['coronavirusindia', 'i_support_corona_india']",
2020-03-03 08:23:59+00:00,1234756392705122307,1,Darkness,['coronavirus'],
2020-03-03 06:31:07+00:00,1234727990547714050,1,War,"['coronavirus', 'covid2019', 'covid19']",
2020-03-03 06:15:47+00:00,1234724130936606720,1,Hammer,['covid19'],
2020-03-03 05:46:06+00:00,1234716659354488832,1,Monster,['coronavirusindia'],
2020-03-03 05:27:06+00:00,1234711879865421824,0,Lesson/Teacher,['coronavirusindia'],
2020-03-03 04:18:55+00:00,1234694719092871168,1,Storm,"['coronavirusus', 'coronavirusindia']",
2020-03-03 03:19:55+00:00,1234679872552701953,1,War,['corona'],
2020-03-04 21:06:04+00:00,1235310565549109250,1,Stigma,['coronavirus'],
2020-03-04 19:00:30+00:00,1235278965348028416,0,Monster,['coronavirusinindia'],
2020-03-04 18:35:20+00:00,1235272631768584192,1,Darkness,['coronavirus..'],
2020-03-04 17:46:10+00:00,1235260259108671488,0,Barrier/Shield,['covid2019'],
2020-03-04 17:45:33+00:00,1235260102447374341,0,Stigma,['coronavirusindia'],
2020-03-04 17:34:28+00:00,1235257313549836288,0,Barrier/Shield,['covid2019'],
2020-03-04 17:24:56+00:00,1235254917805285379,0,War,"['coronavirusindia', 'coronaalert', 'coronavirusinindia']",
2020-03-04 17:22:14+00:00,1235254234905337861,1,WAR,['coronavirus.'],WAR
2020-03-04 17:17:21+00:00,1235253005529669632,0,Catalyst,['covid_19'],
2020-03-04 17:15:33+00:00,1235252553312399366,0,Barrier/Shield,['coronaoutbreak'],
2020-03-04 17:13:30+00:00,1235252037576617984,1,War,['coronavirus!'],
2020-03-04 16:30:57+00:00,1235241328700567552,1,War,['coronavirus'],
2020-03-04 16:25:16+00:00,1235239900187971584,0,War,['cronavirus'],
2020-03-04 15:59:46+00:00,1235233483355643904,0,War,['coronavirus'],
2020-03-04 15:38:56+00:00,1235228239359926273,0,Darkness,['coronavirus'],
2020-03-04 15:28:46+00:00,1235225682268925954,0,War,"['coronavirusupdate', 'coronavirusreachesdelhi', 'covid19india']",
2020-03-04 15:12:53+00:00,1235221684594126849,1,WAR,"['coronavirusindia', 'covid19india', 'coronavirus?']",WAR
2020-03-04 14:47:10+00:00,1235215213718315008,1,Journey,"['covid19usa', 'coronavirus']",
2020-03-04 14:14:06+00:00,1235206890230960128,0,War,['corona.'],
2020-03-04 12:49:58+00:00,1235185716541390849,1,War,"['coronavirus.', 'coronaoutbreak', 'coronavirusindia']",
2020-03-04 09:59:24+00:00,1235142795595259905,0,Lesson/Teacher,['coronavirus'],
2020-03-04 09:48:01+00:00,1235139930571132930,0,War,"['coronaoutbreak', 'covid_19']",
2020-03-04 09:31:51+00:00,1235135858824450048,1,War,"['coronavirus.', 'coronaoutbreak', 'coronavieusindia', 'coronavirus']",
